Tempo;Corrente;Velocidade;Degrau
0.781;27.36;70.19;0
0.782;27.37;70.19;0
0.783;27.39;70.19;0
0.784;27.39;70.19;0
0.785;27.34;70.19;0
0.786;27.35;70.19;0
0.787;27.38;70.19;0
0.788;27.41;70.19;0
0.789;27.43;70.19;0
0.79;27.42;70.19;0
0.791;27.41;70.19;0
0.792;27.43;70.19;0
0.793;27.43;70.19;0
0.794;27.42;70.19;0
0.795;27.4;70.19;0
0.796;27.42;70.19;0
0.797;27.44;70.19;0
0.798;27.45;70.19;0
0.799;27.45;70.19;0
0.8;27.39;70.19;0
0.801;27.4;70.19;0
0.802;27.42;70.14;0
0.803;27.42;70.1;0
0.804;27.41;70.05;0
0.805;27.41;70.01;0
0.806;27.44;69.96;0
0.807;27.44;69.91;0
0.808;27.44;69.87;0
0.809;27.41;69.87;0
0.81;27.4;69.91;0
0.811;27.42;69.96;0
0.812;27.43;70.01;0
0.8130000000000001;27.45;70.05;0
0.8140000000000001;27.42;70.1;0
0.8150000000000001;27.46;70.14;0
0.8160000000000001;27.48;70.19;0
0.8170000000000001;27.48;70.19;0
0.8180000000000001;27.5;70.19;0
0.8190000000000001;27.48;70.19;0
0.8200000000000001;27.47;70.19;0
0.8210000000000001;27.5;70.19;0
0.8220000000000001;27.5;70.19;0
0.8230000000000001;27.5;70.19;0
0.8240000000000001;27.47;70.19;0
0.8250000000000001;27.49;70.19;0
0.8260000000000001;27.52;70.19;0
0.8270000000000001;27.52;70.19;0
0.8280000000000001;27.53;70.14;0
0.8290000000000001;27.49;70.1;0
0.8300000000000001;27.49;70.05;0
0.8310000000000001;27.5;70.01;0
0.8320000000000001;27.49;69.96;0
0.833;27.48;69.91;0
0.834;27.46;69.87;0
0.835;27.48;69.82;0
0.836;27.5;69.82;0
0.837;27.5;69.82;0
0.838;27.49;69.82;0
0.839;27.48;69.82;0
0.84;27.52;69.82;0
0.841;27.53;69.82;0
0.842;27.52;69.82;0
0.843;27.52;69.82;0
0.844;27.53;69.82;0
0.845;27.54;69.82;0
0.846;27.53;69.82;0
0.847;27.54;69.82;0
0.848;27.52;69.82;0
0.849;27.5;69.82;0
0.85;27.53;69.82;0
0.851;27.54;69.82;0
0.852;27.54;69.82;0
0.853;27.52;69.82;0
0.854;27.54;69.82;0
0.855;27.56;69.82;0
0.856;27.56;69.82;0
0.857;27.58;69.82;0
0.858;27.57;69.82;0
0.859;27.6;69.82;0
0.86;27.63;69.82;0
0.861;27.63;69.82;0
0.862;27.61;69.77;0
0.863;27.6;69.73;0
0.864;27.62;69.68;0
0.865;27.65;69.63;0
0.866;27.63;69.59;0
0.867;27.62;69.54;0
0.868;27.6;69.49;0
0.869;27.58;69.49;0
0.87;27.59;69.49;0
0.871;27.59;69.54;0
0.872;27.59;69.59;0
0.873;27.62;69.63;0
0.874;27.65;69.68;0
0.875;27.64;69.73;0
0.876;27.62;69.77;0
0.877;27.61;69.82;0
0.878;27.6;69.82;0
0.879;27.64;69.82;0
0.88;27.68;69.82;0
0.881;27.66;69.82;0
0.882;27.62;69.82;0
0.883;27.59;69.82;0
0.884;27.61;69.82;0
0.885;27.62;69.82;0
0.886;27.62;69.82;0
0.887;27.62;69.82;0
0.888;27.62;69.82;0
0.889;27.62;69.82;0
0.89;27.62;69.82;0
0.891;27.59;69.82;0
0.892;27.58;69.82;0
0.893;27.61;69.82;0
0.894;27.65;69.82;0
0.895;27.66;69.87;0
0.896;27.66;69.91;0
0.897;27.63;69.96;0
0.898;27.61;70.01;0
0.899;27.61;70.05;0
0.9;27.61;70.1;0
0.901;27.58;70.14;0
0.902;27.59;70.19;0
0.903;27.63;70.24;0
0.904;27.65;70.24;0
0.905;27.62;70.24;0
0.906;27.63;70.24;0
0.907;27.63;70.24;0
0.908;27.64;70.24;0
0.909;27.65;70.24;0
0.91;27.65;70.24;0
0.911;27.61;70.24;0
0.912;27.59;70.24;0
0.913;27.61;70.24;0
0.914;27.61;70.19;0
0.915;27.61;70.14;0
0.916;27.61;70.1;0
0.917;27.62;70.05;0
0.918;27.65;70.01;0
0.919;27.65;69.96;0
0.92;27.59;69.91;0
0.921;27.58;69.87;0
0.922;27.6;69.87;0
0.923;27.64;69.87;0
0.924;27.64;69.87;0
0.925;27.64;69.87;0
0.926;27.61;69.87;0
0.927;27.59;69.87;0
0.928;27.61;69.87;0
0.929;27.6;69.87;0
0.93;27.57;69.91;0
0.931;27.59;69.96;0
0.932;27.62;70.01;0
0.933;27.63;70.05;0
0.934;27.6;70.1;0
0.935;27.57;70.14;0
0.936;27.56;70.19;0
0.937;27.58;70.24;0
0.9380000000000001;27.61;70.24;0
0.9390000000000001;27.6;70.24;0
0.9400000000000001;27.58;70.24;0
0.9410000000000001;27.58;70.24;0
0.9420000000000001;27.6;70.24;0
0.9430000000000001;27.57;70.24;0
0.9440000000000001;27.56;70.24;0
0.9450000000000001;27.55;70.24;0
0.9460000000000001;27.55;70.24;0
